Player,Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Opponent
HE van der Dussen ,South Africa,7,7,0,244,95,34.85,306,79.73,0,2,0,17,7,Australia
Sarfaraz Ahmed ,Pakistan,6,5,2,241,97,80.33,204,118.13,0,2,0,19,2,England
HE van der Dussen ,South Africa,4,4,1,240,123*,80.00,257,93.38,1,1,0,17,7,Pakistan
WA Young ,New Zealand,5,5,0,240,87,48.00,252,95.23,0,2,0,26,4,Pakistan
SV Samson ,India,6,5,3,238,108,119.00,240,99.16,1,1,0,17,7,South Africa
GJ Maxwell ,Australia,7,7,3,237,80*,59.25,160,148.12,0,1,0,25,10,Sri Lanka
Agha Salman ,Pakistan,9,7,1,236,58,39.33,217,108.75,0,2,0,20,5,New Zealand
V Kohli ,India,5,5,1,235,101*,58.75,307,76.54,1,2,1,19,0,South Africa
DA Miller ,South Africa,10,7,3,234,69*,58.50,186,125.80,0,3,0,18,9,England
JM Vince ,England,6,4,0,234,102,58.50,218,107.33,1,1,0,32,0,Pakistan
AT Carey ,Australia,9,9,0,233,99,25.88,232,100.43,0,2,1,22,5,South Africa
Soumya Sarkar ,Bangladesh,9,8,1,231,169,33.00,253,91.30,1,0,3,28,3,New Zealand
DP Conway ,New Zealand,8,7,1,230,138,38.33,249,92.36,1,0,1,27,8,India
M Labuschagne ,Australia,7,7,1,230,71,38.33,268,85.82,0,2,0,17,1,England
Mushfiqur Rahim ,Bangladesh,9,8,0,230,66,28.75,354,64.97,0,1,0,19,4,New Zealand
RG Sharma ,India,5,5,1,230,104,57.50,193,119.17,1,1,1,21,13,Bangladesh
Soumya Sarkar ,Bangladesh,7,5,0,229,73,45.80,207,110.62,0,3,0,24,8,West Indies
T de Zorzi ,South Africa,3,3,1,228,119*,114.00,231,98.70,1,1,0,17,11,India
V Kohli ,India,7,7,0,228,66,32.57,281,81.13,0,3,1,23,1,England
WIA Fernando ,Sri Lanka,7,7,0,227,118,32.42,245,92.65,1,0,0,28,2,South Africa
TM Head ,Australia,4,4,1,226,137,75.33,191,118.32,1,1,0,30,6,India
Shakib Al Hasan ,Bangladesh,5,5,0,226,80,45.20,267,84.64,0,2,0,20,3,India
KL Rahul ,India,6,6,1,225,77,45.00,273,82.41,0,2,0,17,6,Bangladesh
Mushfiqur Rahim ,Bangladesh,7,7,3,224,64,56.00,236,94.91,0,2,0,14,7,West Indies
RR Pant ,India,9,8,0,222,71,27.75,224,99.10,0,2,1,24,6,West Indies
GJ Maxwell ,Australia,5,5,0,220,108,44.00,188,117.02,1,1,0,11,13,England
V Kohli ,India,4,4,1,219,122*,73.00,184,119.02,1,1,0,20,3,Pakistan
DA Warner ,Australia,2,2,0,219,166,109.50,208,105.28,1,1,0,20,5,Bangladesh
BKG Mendis ,Sri Lanka,5,5,0,217,76,43.40,250,86.80,0,2,0,14,10,South Africa
Mohammad Rizwan ,Pakistan,2,2,2,217,131*,-,194,111.85,1,1,0,14,5,Sri Lanka
S Dhawan ,India,7,6,0,216,97,36.00,269,80.29,0,2,0,22,4,West Indies
KL Rahul ,India,5,5,1,216,108,54.00,242,89.25,1,1,1,14,6,England
R Ravindra ,New Zealand,5,4,1,216,123*,72.00,168,128.57,1,1,0,20,9,England
Ishan Kishan ,India,2,2,0,215,210,107.50,146,147.26,1,0,0,24,10,Bangladesh
TM Head ,Australia,5,5,1,214,64,53.50,147,145.57,0,2,0,31,8,South Africa
MR Marsh ,Australia,10,10,0,214,71,21.40,233,91.84,0,1,2,21,8,South Africa
Litton Das ,Bangladesh,7,7,2,213,94*,42.60,236,90.25,0,2,1,25,5,West Indies
BKG Mendis ,Sri Lanka,2,2,0,213,122,106.50,164,129.87,1,1,0,22,7,Pakistan
KIC Asalanka ,Sri Lanka,6,6,1,212,110,42.40,253,83.79,1,0,0,16,3,Australia
DM Bravo ,West Indies,6,6,1,212,102,42.40,276,76.81,1,0,0,11,8,Sri Lanka
Ishan Kishan ,India,4,4,0,212,77,53.00,201,105.47,0,3,0,23,6,West Indies
DA Miller ,South Africa,11,9,3,212,75*,35.33,223,95.06,0,1,0,16,4,India
SA Yadav ,India,9,9,1,212,64,26.50,234,90.59,0,1,0,22,4,West Indies
AT Carey ,Australia,5,5,1,211,85,52.75,244,86.47,0,2,0,22,1,New Zealand
S Dhawan ,India,6,6,1,210,98,42.00,262,80.15,0,2,0,26,2,England
Imam-ul-Haq ,Pakistan,6,6,0,210,90,35.00,253,83.00,0,2,0,21,2,New Zealand
Mahmudullah ,Bangladesh,5,4,1,207,111,69.00,205,100.97,1,0,0,18,6,South Africa
JE Root ,England,5,4,2,207,79*,103.50,273,75.82,0,3,0,12,0,Sri Lanka
LS Livingstone ,England,5,5,1,206,95*,51.50,191,107.85,0,2,0,15,5,New Zealand
JE Root ,England,8,6,0,206,86,34.33,218,94.49,0,2,0,13,2,South Africa
WIA Fernando ,Sri Lanka,7,7,0,205,76,29.28,258,79.45,0,2,0,19,3,India
PW Hasaranga ,Sri Lanka,6,6,2,205,80*,51.25,154,133.11,0,1,0,17,9,West Indies
SE Marsh ,Australia,6,6,2,205,91*,51.25,251,81.67,0,2,0,14,3,Pakistan
SPD Smith ,Australia,6,6,0,204,105,34.00,275,74.18,1,1,0,18,3,New Zealand
Babar Azam ,Pakistan,4,4,0,203,103,50.75,236,86.01,1,1,0,16,1,West Indies
SD Hope ,West Indies,4,4,1,203,109*,67.66,191,106.28,1,1,0,12,9,England
AK Markram ,South Africa,10,10,2,203,79,25.37,249,81.52,0,1,1,20,2,India
S Dhawan ,India,7,7,0,202,79,28.85,257,78.59,0,2,0,22,2,South Africa
AJ Finch ,Australia,5,5,0,201,100,40.20,256,78.51,1,1,1,24,3,England
Imam-ul-Haq ,Pakistan,4,4,0,201,72,50.25,222,90.54,0,3,0,19,1,West Indies
DJ Mitchell ,New Zealand,4,3,3,201,100*,-,165,121.81,1,1,0,17,6,Bangladesh
HE van der Dussen ,South Africa,2,2,1,200,133,200.00,182,109.89,1,1,0,11,8,New Zealand
F du Plessis ,South Africa,4,4,1,199,96*,66.33,210,94.76,0,1,0,23,2,Sri Lanka
E Lewis ,West Indies,5,5,1,199,65,49.75,230,86.52,0,1,0,23,7,India
DJ Mitchell ,New Zealand,5,4,1,196,118*,65.33,188,104.25,1,1,0,14,8,England
JC Buttler ,England,5,5,0,195,76,39.00,152,128.28,0,2,0,9,7,Bangladesh
BR McDermott ,Australia,3,3,0,195,104,65.00,228,85.52,1,1,0,17,5,Pakistan
DJ Malan ,England,4,4,0,195,118,48.75,195,100.00,1,1,0,18,7,South Africa
JM Bairstow ,England,6,6,0,194,106,32.33,214,90.65,1,0,1,28,2,New Zealand
DA Warner ,Australia,7,7,0,192,99,27.42,240,80.00,0,1,1,23,1,Sri Lanka
TM Head ,Australia,3,3,0,190,101,63.33,143,132.86,1,1,1,18,8,Pakistan
KIC Asalanka ,Sri Lanka,9,9,0,189,65,21.00,274,68.97,0,1,1,16,0,India
RR Hendricks ,South Africa,5,5,1,189,85,47.25,210,90.00,0,2,0,21,3,England
Mahmudullah ,Bangladesh,10,6,5,189,64*,189.00,241,78.42,0,1,0,9,5,West Indies
DA Warner ,Australia,5,5,0,189,81,37.80,212,89.15,0,2,0,20,7,New Zealand
MG Bracewell ,New Zealand,4,3,0,188,140,62.66,130,144.61,1,0,0,19,11,India
DP Conway ,New Zealand,4,4,0,188,101,47.00,197,95.43,1,1,1,24,2,Pakistan
Imam-ul-Haq ,Pakistan,5,5,0,188,70,37.60,239,78.66,0,2,0,15,1,South Africa
Mahmudullah ,Bangladesh,7,7,0,188,54,26.85,260,72.30,0,2,0,9,5,Sri Lanka
