Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
G Coetzee ,South Africa,5,5,36.3,0,261,8,4/50,32.62,7.15,27.3,1,0,Australia
SS Cottrell ,West Indies,6,5,49.0,4,302,8,2/46,37.75,6.16,36.7,0,0,India
NM Coulter-Nile ,Australia,4,4,36.0,1,219,8,3/53,27.37,6.08,27.0,0,0,Pakistan
PJ Cummins ,Australia,3,3,25.3,1,118,8,3/23,14.75,4.62,19.1,0,0,Pakistan
LH Ferguson ,New Zealand,9,9,73.5,2,454,8,3/59,56.75,6.14,55.3,0,0,India
Haris Rauf ,Pakistan,4,4,34.5,2,223,8,3/39,27.87,6.40,26.1,0,0,Australia
JR Hazlewood ,Australia,5,5,45.0,3,200,8,3/31,25.00,4.44,33.7,0,0,New Zealand
JR Hazlewood ,Australia,3,3,22.0,2,72,8,3/11,9.00,3.27,16.5,0,0,West Indies
MJ Henry ,New Zealand,6,6,54.3,5,295,8,3/54,36.87,5.41,40.8,0,0,Pakistan
JO Holder ,West Indies,7,7,63.0,1,388,8,2/39,48.50,6.15,47.2,0,0,Sri Lanka
RA Jadeja ,India,9,9,57.0,1,323,8,3/37,40.37,5.66,42.7,0,0,West Indies
KA Maharaj ,South Africa,9,9,77.0,3,338,8,2/51,42.25,4.38,57.7,0,0,India
KA Maharaj ,South Africa,4,4,38.0,1,162,8,3/38,20.25,4.26,28.5,0,0,Sri Lanka
Mehidy Hasan Miraz ,Bangladesh,5,5,43.0,0,232,8,4/61,29.00,5.39,32.2,1,0,South Africa
Mohammad Saifuddin ,Bangladesh,4,4,34.0,2,199,8,3/51,24.87,5.85,25.5,0,0,West Indies
Mohammed Shami ,India,4,4,27.0,3,148,8,5/18,18.50,5.48,20.2,0,1,Sri Lanka
Mohammed Siraj ,India,6,6,38.1,3,242,8,3/29,30.25,6.34,28.6,0,0,Australia
Mohammed Siraj ,India,4,4,35.0,1,192,8,3/32,24.00,5.48,26.2,0,0,Bangladesh
G Motie ,West Indies,4,4,36.4,1,154,8,3/36,19.25,4.20,27.5,0,0,India
HH Pandya ,India,8,8,42.2,0,223,8,3/3,27.87,5.26,31.7,0,0,Sri Lanka
AL Phehlukwayo ,South Africa,6,5,29.3,0,165,8,3/40,20.62,5.59,22.1,0,0,India
M Prasidh Krishna ,India,6,6,47.1,1,301,8,4/54,37.62,6.38,35.3,1,0,England
K Rabada ,South Africa,5,5,45.3,1,232,8,5/39,29.00,5.09,34.1,0,1,Bangladesh
CAK Rajitha ,Sri Lanka,7,7,57.1,1,410,8,3/88,51.25,7.17,42.8,0,0,India
R Ravindra ,New Zealand,5,5,36.0,0,244,8,4/60,30.50,6.77,27.0,1,0,England
JA Richardson ,Australia,3,3,28.0,2,169,8,3/37,21.12,6.03,21.0,0,0,India
HB Shipley ,New Zealand,2,2,15.3,2,63,8,5/31,7.87,4.06,11.6,0,1,Sri Lanka
Shoriful Islam ,Bangladesh,5,5,35.5,4,174,8,3/22,21.75,4.85,26.8,0,0,New Zealand
IS Sodhi ,New Zealand,4,3,22.0,1,114,8,6/39,14.25,5.18,16.5,0,1,Bangladesh
Taskin Ahmed ,Bangladesh,3,3,23.0,1,112,8,5/35,14.00,4.86,17.2,0,1,South Africa
Taskin Ahmed ,Bangladesh,6,6,53.0,2,270,8,4/46,33.75,5.09,39.7,1,0,Sri Lanka
SN Thakur ,India,5,5,43.0,2,222,8,3/30,27.75,5.16,32.2,0,0,Bangladesh
SA Abbott ,Australia,6,6,54.4,1,335,7,3/23,47.85,6.12,46.8,0,0,India
MM Ali ,England,4,4,30.2,0,183,7,4/50,26.14,6.03,26.0,1,0,New Zealand
JJ Bumrah ,India,5,5,45.0,1,186,7,2/35,26.57,4.13,38.5,0,0,South Africa
JJ Bumrah ,India,4,4,27.0,5,98,7,3/37,14.00,3.62,23.1,0,0,Sri Lanka
YS Chahal ,India,4,4,31.5,0,205,7,4/47,29.28,6.43,27.2,1,0,England
SM Curran ,England,3,3,22.0,2,127,7,4/29,18.14,5.77,18.8,1,0,Bangladesh
DM de Silva ,Sri Lanka,6,6,36.0,0,167,7,2/26,23.85,4.63,30.8,0,0,Australia
LH Ferguson ,New Zealand,5,5,41.0,0,263,7,2/49,37.57,6.41,35.1,0,0,Australia
JO Holder ,West Indies,4,4,31.0,3,142,7,3/24,20.28,4.58,26.5,0,0,New Zealand
B Kumar ,India,3,3,29.0,0,165,7,3/48,23.57,5.68,24.8,0,0,Australia
Mehidy Hasan Miraz ,Bangladesh,5,5,44.0,2,276,7,2/35,39.42,6.27,37.7,0,0,England
Mehidy Hasan Miraz ,Bangladesh,5,5,40.1,1,241,7,2/46,34.42,6.00,34.4,0,0,India
AF Milne ,New Zealand,4,4,26.3,0,172,7,4/34,24.57,6.49,22.7,1,0,Bangladesh
