Player,Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Opponent
SA Abbott ,Australia,3,3,10.0,1,70,8,4/31,8.75,7.00,7.5,1,0,South Africa
AC Agar ,Australia,5,5,17.0,0,117,8,6/30,14.62,6.88,12.7,0,1,New Zealand
AC Agar ,Australia,3,3,12.0,0,68,8,5/24,8.50,5.66,9.0,0,1,South Africa
AC Agar ,Australia,10,10,40.0,0,211,8,2/27,26.37,5.27,30.0,0,0,Sri Lanka
Arshdeep Singh ,India,5,5,16.0,0,163,8,3/32,20.37,10.18,12.0,0,0,South Africa
JJ Bumrah ,India,6,6,24.0,1,148,8,3/12,18.50,6.16,18.0,0,0,New Zealand
DL Chahar ,India,3,3,10.2,0,56,8,6/7,7.00,5.41,7.7,0,1,Bangladesh
PVD Chameera ,Sri Lanka,9,9,35.0,0,311,8,2/30,38.87,8.88,26.2,0,0,Australia
LH Ferguson ,New Zealand,5,5,17.0,0,105,8,5/21,13.12,6.17,12.7,0,1,West Indies
Imad Wasim ,Pakistan,7,7,27.0,0,228,8,2/31,28.50,8.44,20.2,0,0,England
AS Joseph ,West Indies,5,5,20.0,0,153,8,3/21,19.12,7.65,15.0,0,0,Australia
B Kumar ,India,8,8,26.0,2,165,8,3/15,20.62,6.34,19.5,0,0,England
B Kumar ,India,6,6,19.3,0,127,8,4/22,15.87,6.51,14.6,1,0,Sri Lanka
D Madushanka ,Sri Lanka,4,4,16.0,0,159,8,3/24,19.87,9.93,12.0,0,0,India
MR Marsh ,Australia,10,6,16.0,0,104,8,3/24,13.00,6.50,12.0,0,0,West Indies
Mohammad Hasnain ,Pakistan,8,7,28.0,0,267,8,3/51,33.37,9.53,21.0,0,0,England
Mohammad Nawaz ,3) ,8,8,26.0,0,191,8,2/13,23.87,7.34,19.5,0,0,South Africa
Mohammad Saifuddin ,Bangladesh,7,7,24.0,0,202,8,2/7,25.25,8.41,18.0,0,0,New Zealand
